0,chargoon,چارگون,1,11,1.7,5.0,2.4,7554,https://jobguy.ir/company/chargoon
0,rayan-bahman-pardaz,رایان بهمن پرداز,1,10,2.4,10.0,2.8,3362,https://jobguy.ir/company/rayan-bahman-pardaz
0,mahya-pardaz,محیا پرداز,1,9,0.0,12.0,1.2,3006,https://jobguy.ir/company/mahya-pardaz
0,hichestan,هیچستان,1,8,1.7,17.0,1.8,3345,https://jobguy.ir/company/hichestan
0,karina-mobile-solutions,راهکارهای همراه کارینا,1,7,2.5,9.0,2.9,2946,https://jobguy.ir/company/karina-mobile-solutions
0,arvan-cloud,ابر آروان,5,6,2.0,11.6,3.6,10976,https://jobguy.ir/company/arvan-cloud
0,bahar-saman-e-shargh,بهار سامانه شرق,1,5,1.2,4.0,1.0,1799,https://jobguy.ir/company/bahar-saman-e-shargh
0,cafebazaar,کافه بازار,2,5,0.0,12.0,4.7,7725,https://jobguy.ir/company/cafebazaar
0,fartech,فرتک,0,5,0.8,1.8,3.5,1346,https://jobguy.ir/company/fartech
0,snapp,اسنپ,1,4,0.0,10.0,3.5,3528,https://jobguy.ir/company/snapp
0,zhaket,ژاکت,0,4,3.0,7.0,1.3,1589,https://jobguy.ir/company/zhaket
0,kte,عصر فناوری دانش,1,4,1.8,4.4,1.8,856,https://jobguy.ir/company/kte
0,magic-mirror-inst,موسسه فرهنگی و دیجیتال آینه جادو,0,4,2.0,6.0,1.9,537,https://jobguy.ir/company/magic-mirror-inst
0,snapp-trip,اسنپ تریپ,1,4,5.0,40.0,2.6,4706,https://jobguy.ir/company/snapp-trip
0,hpds-high-performance-data-storage-system,پردازش و ذخیره سازی سریع داده (پرسا),0,4,2.3,4.0,1.1,1711,https://jobguy.ir/company/hpds-high-performance-data-storage-system
0,pajhuhesh,پژوهش و نوآوری صنایع آموزشی,0,4,3.2,6.5,1.6,862,https://jobguy.ir/company/pajhuhesh
0,spiral-design-center,مرکز طراحی اسپیرال,0,4,0.9,3.2,1.0,640,https://jobguy.ir/company/spiral-design-center
0,yeksa,یکسا,0,3,0.0,2.1,3.7,1050,https://jobguy.ir/company/yeksa
0,khanoumi,خانومی,0,3,3.5,6.1,2.6,391,https://jobguy.ir/company/khanoumi
